00000000) perceptual - 135.45325; gen_gan - 0.35222; feature_matching - 3.50610; equivariance_value - 0.38566; equivariance_jacobian - 0.71901; kp_distance - 4.03942; disc_gan - 0.46968
00000024) perceptual - 106.23830; gen_gan - 0.60047; feature_matching - 5.04061; equivariance_value - 0.44349; equivariance_jacobian - 0.70249; kp_distance - 1.64574; disc_gan - 0.26557
00000024) perceptual - 106.63914; gen_gan - 0.59406; feature_matching - 5.05087; equivariance_value - 0.44188; equivariance_jacobian - 0.70063; kp_distance - 1.64649; disc_gan - 0.26350
00000025) perceptual - 103.95882; gen_gan - 0.58846; feature_matching - 4.91732; equivariance_value - 0.41789; equivariance_jacobian - 0.68374; kp_distance - 1.35683; disc_gan - 0.27068
00000025) perceptual - 103.68403; gen_gan - 0.58901; feature_matching - 4.91025; equivariance_value - 0.41278; equivariance_jacobian - 0.68111; kp_distance - 1.35686; disc_gan - 0.27103
00000026) perceptual - 101.84003; gen_gan - 0.58564; feature_matching - 4.82319; equivariance_value - 0.37677; equivariance_jacobian - 0.65226; kp_distance - 1.09428; disc_gan - 0.27438
00000026) perceptual - 101.56052; gen_gan - 0.58219; feature_matching - 4.81646; equivariance_value - 0.38066; equivariance_jacobian - 0.65505; kp_distance - 1.09520; disc_gan - 0.27292
00000027) perceptual - 100.81283; gen_gan - 0.58320; feature_matching - 4.77917; equivariance_value - 0.40499; equivariance_jacobian - 0.66544; kp_distance - 1.23898; disc_gan - 0.27553
00000027) perceptual - 100.80454; gen_gan - 0.58115; feature_matching - 4.77571; equivariance_value - 0.40792; equivariance_jacobian - 0.66570; kp_distance - 1.22874; disc_gan - 0.27377
00000028) perceptual - 99.53973; gen_gan - 0.58191; feature_matching - 4.70569; equivariance_value - 0.39962; equivariance_jacobian - 0.64952; kp_distance - 1.33527; disc_gan - 0.27560
00000028) perceptual - 99.73794; gen_gan - 0.58067; feature_matching - 4.70869; equivariance_value - 0.39786; equivariance_jacobian - 0.64919; kp_distance - 1.33480; disc_gan - 0.27577
00000029) perceptual - 98.25854; gen_gan - 0.57907; feature_matching - 4.65589; equivariance_value - 0.39074; equivariance_jacobian - 0.62817; kp_distance - 1.21511; disc_gan - 0.27791
00000029) perceptual - 98.71594; gen_gan - 0.58025; feature_matching - 4.67633; equivariance_value - 0.39092; equivariance_jacobian - 0.62726; kp_distance - 1.21157; disc_gan - 0.27458
00000030) perceptual - 97.47443; gen_gan - 0.58093; feature_matching - 4.63118; equivariance_value - 0.39726; equivariance_jacobian - 0.62279; kp_distance - 1.17481; disc_gan - 0.27543
00000030) perceptual - 97.55717; gen_gan - 0.58205; feature_matching - 4.63633; equivariance_value - 0.39897; equivariance_jacobian - 0.62201; kp_distance - 1.17480; disc_gan - 0.27544
00000031) perceptual - 96.86504; gen_gan - 0.57912; feature_matching - 4.59537; equivariance_value - 0.37038; equivariance_jacobian - 0.60718; kp_distance - 1.25625; disc_gan - 0.27773
00000031) perceptual - 97.20613; gen_gan - 0.58320; feature_matching - 4.61630; equivariance_value - 0.37201; equivariance_jacobian - 0.60908; kp_distance - 1.25659; disc_gan - 0.27438
00000032) perceptual - 96.29295; gen_gan - 0.57819; feature_matching - 4.57350; equivariance_value - 0.36811; equivariance_jacobian - 0.59690; kp_distance - 1.30660; disc_gan - 0.27728
00000032) perceptual - 96.53693; gen_gan - 0.58107; feature_matching - 4.58717; equivariance_value - 0.36596; equivariance_jacobian - 0.59195; kp_distance - 1.31130; disc_gan - 0.27550
00000033) perceptual - 96.52097; gen_gan - 0.58564; feature_matching - 4.56878; equivariance_value - 0.37733; equivariance_jacobian - 0.58653; kp_distance - 1.14848; disc_gan - 0.27279
00000033) perceptual - 96.26933; gen_gan - 0.58103; feature_matching - 4.55775; equivariance_value - 0.37946; equivariance_jacobian - 0.58731; kp_distance - 1.15204; disc_gan - 0.27609
00000034) perceptual - 96.02912; gen_gan - 0.58427; feature_matching - 4.55437; equivariance_value - 0.37904; equivariance_jacobian - 0.58329; kp_distance - 1.20847; disc_gan - 0.27346
00000034) perceptual - 95.99323; gen_gan - 0.58579; feature_matching - 4.55547; equivariance_value - 0.37812; equivariance_jacobian - 0.58383; kp_distance - 1.20862; disc_gan - 0.27302
00000035) perceptual - 94.92921; gen_gan - 0.58204; feature_matching - 4.51677; equivariance_value - 0.34629; equivariance_jacobian - 0.57323; kp_distance - 1.36466; disc_gan - 0.27466
00000035) perceptual - 95.03706; gen_gan - 0.58302; feature_matching - 4.52879; equivariance_value - 0.34785; equivariance_jacobian - 0.57723; kp_distance - 1.36319; disc_gan - 0.27433
00000036) perceptual - 94.37000; gen_gan - 0.58173; feature_matching - 4.49775; equivariance_value - 0.32913; equivariance_jacobian - 0.56018; kp_distance - 1.32486; disc_gan - 0.27205
00000036) perceptual - 94.47472; gen_gan - 0.58429; feature_matching - 4.50253; equivariance_value - 0.32708; equivariance_jacobian - 0.55817; kp_distance - 1.32741; disc_gan - 0.27666
00000037) perceptual - 94.70090; gen_gan - 0.58664; feature_matching - 4.52004; equivariance_value - 0.33779; equivariance_jacobian - 0.56365; kp_distance - 1.24630; disc_gan - 0.26881
00000037) perceptual - 94.70662; gen_gan - 0.58877; feature_matching - 4.51513; equivariance_value - 0.33713; equivariance_jacobian - 0.56200; kp_distance - 1.24377; disc_gan - 0.27308
00000038) perceptual - 93.50075; gen_gan - 0.58149; feature_matching - 4.47376; equivariance_value - 0.36374; equivariance_jacobian - 0.56202; kp_distance - 1.10804; disc_gan - 0.27448
00000038) perceptual - 94.40589; gen_gan - 0.58931; feature_matching - 4.50613; equivariance_value - 0.36229; equivariance_jacobian - 0.56014; kp_distance - 1.11135; disc_gan - 0.27090
00000039) perceptual - 93.81376; gen_gan - 0.58744; feature_matching - 4.48749; equivariance_value - 0.35556; equivariance_jacobian - 0.55769; kp_distance - 1.21149; disc_gan - 0.27076
00000039) perceptual - 93.35188; gen_gan - 0.58760; feature_matching - 4.47763; equivariance_value - 0.35832; equivariance_jacobian - 0.56011; kp_distance - 1.20878; disc_gan - 0.27166
00000040) perceptual - 93.37076; gen_gan - 0.58684; feature_matching - 4.47368; equivariance_value - 0.35872; equivariance_jacobian - 0.55197; kp_distance - 1.20001; disc_gan - 0.27039
00000040) perceptual - 92.57749; gen_gan - 0.58925; feature_matching - 4.44994; equivariance_value - 0.36012; equivariance_jacobian - 0.55543; kp_distance - 1.20399; disc_gan - 0.27191
00000041) perceptual - 92.71574; gen_gan - 0.59025; feature_matching - 4.45654; equivariance_value - 0.33839; equivariance_jacobian - 0.54156; kp_distance - 1.17754; disc_gan - 0.26998
00000041) perceptual - 92.67255; gen_gan - 0.58873; feature_matching - 4.45249; equivariance_value - 0.33367; equivariance_jacobian - 0.54052; kp_distance - 1.17647; disc_gan - 0.27028
00000042) perceptual - 96.49410; gen_gan - 0.61047; feature_matching - 4.62476; equivariance_value - 0.32567; equivariance_jacobian - 0.55248; kp_distance - 1.29823; disc_gan - 0.25378
00000042) perceptual - 96.62260; gen_gan - 0.61278; feature_matching - 4.62915; equivariance_value - 0.33102; equivariance_jacobian - 0.55638; kp_distance - 1.28738; disc_gan - 0.25624
00000043) perceptual - 92.37478; gen_gan - 0.59434; feature_matching - 4.47712; equivariance_value - 0.34257; equivariance_jacobian - 0.54119; kp_distance - 1.13113; disc_gan - 0.26688
00000043) perceptual - 93.04169; gen_gan - 0.59792; feature_matching - 4.49391; equivariance_value - 0.34037; equivariance_jacobian - 0.53877; kp_distance - 1.13388; disc_gan - 0.26552
00000044) perceptual - 92.18797; gen_gan - 0.59361; feature_matching - 4.46721; equivariance_value - 0.32334; equivariance_jacobian - 0.53322; kp_distance - 1.09392; disc_gan - 0.26621
00000044) perceptual - 92.00785; gen_gan - 0.59662; feature_matching - 4.47050; equivariance_value - 0.32319; equivariance_jacobian - 0.53302; kp_distance - 1.09478; disc_gan - 0.26636
00000045) perceptual - 91.75401; gen_gan - 0.59446; feature_matching - 4.46326; equivariance_value - 0.34031; equivariance_jacobian - 0.53560; kp_distance - 1.12372; disc_gan - 0.26623
00000045) perceptual - 92.14054; gen_gan - 0.60019; feature_matching - 4.48125; equivariance_value - 0.34286; equivariance_jacobian - 0.53760; kp_distance - 1.12892; disc_gan - 0.26329
00000046) perceptual - 92.04379; gen_gan - 0.60038; feature_matching - 4.49168; equivariance_value - 0.33445; equivariance_jacobian - 0.52889; kp_distance - 1.17078; disc_gan - 0.26302
00000046) perceptual - 92.16534; gen_gan - 0.59701; feature_matching - 4.48080; equivariance_value - 0.33715; equivariance_jacobian - 0.53051; kp_distance - 1.16903; disc_gan - 0.26576
00000047) perceptual - 91.74655; gen_gan - 0.59785; feature_matching - 4.48000; equivariance_value - 0.31436; equivariance_jacobian - 0.52583; kp_distance - 1.05441; disc_gan - 0.26397
00000047) perceptual - 91.54530; gen_gan - 0.60058; feature_matching - 4.47516; equivariance_value - 0.31381; equivariance_jacobian - 0.52446; kp_distance - 1.05168; disc_gan - 0.26273
00000048) perceptual - 91.42581; gen_gan - 0.59548; feature_matching - 4.46985; equivariance_value - 0.30535; equivariance_jacobian - 0.51541; kp_distance - 1.02372; disc_gan - 0.26524
00000048) perceptual - 91.31342; gen_gan - 0.59952; feature_matching - 4.46591; equivariance_value - 0.30624; equivariance_jacobian - 0.51685; kp_distance - 1.02838; disc_gan - 0.26371
00000049) perceptual - 91.09330; gen_gan - 0.59701; feature_matching - 4.45592; equivariance_value - 0.30247; equivariance_jacobian - 0.51650; kp_distance - 1.03745; disc_gan - 0.26370
00000049) perceptual - 91.00615; gen_gan - 0.59750; feature_matching - 4.45495; equivariance_value - 0.29982; equivariance_jacobian - 0.51412; kp_distance - 1.03704; disc_gan - 0.26637
00000050) perceptual - 90.41241; gen_gan - 0.59406; feature_matching - 4.44579; equivariance_value - 0.31158; equivariance_jacobian - 0.52123; kp_distance - 0.97381; disc_gan - 0.26708
00000050) perceptual - 90.83887; gen_gan - 0.59829; feature_matching - 4.45288; equivariance_value - 0.31103; equivariance_jacobian - 0.51917; kp_distance - 0.97963; disc_gan - 0.26368
00000051) perceptual - 90.83434; gen_gan - 0.43039; feature_matching - 3.10215; equivariance_value - 0.29932; equivariance_jacobian - 0.51532; kp_distance - 1.07631; disc_gan - 0.39231
00000051) perceptual - 90.83709; gen_gan - 0.42996; feature_matching - 3.09787; equivariance_value - 0.29845; equivariance_jacobian - 0.51593; kp_distance - 1.06942; disc_gan - 0.39305
00000052) perceptual - 90.37754; gen_gan - 0.60125; feature_matching - 4.44905; equivariance_value - 0.30423; equivariance_jacobian - 0.51486; kp_distance - 1.03710; disc_gan - 0.25977
00000052) perceptual - 90.48320; gen_gan - 0.60213; feature_matching - 4.44728; equivariance_value - 0.30296; equivariance_jacobian - 0.51053; kp_distance - 1.03465; disc_gan - 0.25902
00000053) perceptual - 90.26171; gen_gan - 0.59557; feature_matching - 4.45703; equivariance_value - 0.31719; equivariance_jacobian - 0.51751; kp_distance - 1.16707; disc_gan - 0.26346
00000053) perceptual - 90.44562; gen_gan - 0.60305; feature_matching - 4.46998; equivariance_value - 0.31561; equivariance_jacobian - 0.51584; kp_distance - 1.16565; disc_gan - 0.26101
00000054) perceptual - 90.18138; gen_gan - 0.59537; feature_matching - 4.43101; equivariance_value - 0.35037; equivariance_jacobian - 0.52195; kp_distance - 1.08213; disc_gan - 0.26417
00000054) perceptual - 90.07044; gen_gan - 0.59665; feature_matching - 4.42946; equivariance_value - 0.34725; equivariance_jacobian - 0.52015; kp_distance - 1.08093; disc_gan - 0.26558
00000055) perceptual - 90.43215; gen_gan - 0.59521; feature_matching - 4.43906; equivariance_value - 0.41754; equivariance_jacobian - 0.53248; kp_distance - 1.13155; disc_gan - 0.26691
00000055) perceptual - 90.56779; gen_gan - 0.59373; feature_matching - 4.45346; equivariance_value - 0.41791; equivariance_jacobian - 0.53082; kp_distance - 1.12990; disc_gan - 0.26507
00000056) perceptual - 89.87231; gen_gan - 0.59505; feature_matching - 4.42438; equivariance_value - 0.39224; equivariance_jacobian - 0.52268; kp_distance - 1.02149; disc_gan - 0.26552
00000056) perceptual - 89.81367; gen_gan - 0.59678; feature_matching - 4.42255; equivariance_value - 0.39530; equivariance_jacobian - 0.52427; kp_distance - 1.02471; disc_gan - 0.26558
00000057) perceptual - 90.15152; gen_gan - 0.59582; feature_matching - 4.42108; equivariance_value - 0.34373; equivariance_jacobian - 0.51007; kp_distance - 1.06994; disc_gan - 0.26431
00000057) perceptual - 89.82108; gen_gan - 0.59664; feature_matching - 4.40804; equivariance_value - 0.34246; equivariance_jacobian - 0.50886; kp_distance - 1.06721; disc_gan - 0.26546
00000058) perceptual - 89.49376; gen_gan - 0.59328; feature_matching - 4.39014; equivariance_value - 0.35063; equivariance_jacobian - 0.51137; kp_distance - 1.02702; disc_gan - 0.26667
00000058) perceptual - 89.43099; gen_gan - 0.59705; feature_matching - 4.39448; equivariance_value - 0.35537; equivariance_jacobian - 0.51386; kp_distance - 1.02484; disc_gan - 0.26569
00000059) perceptual - 89.23566; gen_gan - 0.59436; feature_matching - 4.38518; equivariance_value - 0.32428; equivariance_jacobian - 0.51120; kp_distance - 1.07953; disc_gan - 0.26839
00000059) perceptual - 89.27039; gen_gan - 0.59557; feature_matching - 4.38487; equivariance_value - 0.32471; equivariance_jacobian - 0.51128; kp_distance - 1.08504; disc_gan - 0.26474
00000059) perceptual - 89.19135; gen_gan - 0.59578; feature_matching - 4.39493; equivariance_value - 0.29660; equivariance_jacobian - 0.49977; kp_distance - 1.12380; disc_gan - 0.26399
00000059) perceptual - 88.95750; gen_gan - 0.59832; feature_matching - 4.39488; equivariance_value - 0.29853; equivariance_jacobian - 0.50241; kp_distance - 1.12688; disc_gan - 0.26401
00000060) perceptual - 89.25026; gen_gan - 0.59708; feature_matching - 4.38317; equivariance_value - 0.30292; equivariance_jacobian - 0.50174; kp_distance - 1.15515; disc_gan - 0.26398
00000060) perceptual - 88.90533; gen_gan - 0.59609; feature_matching - 4.37219; equivariance_value - 0.30293; equivariance_jacobian - 0.50213; kp_distance - 1.15545; disc_gan - 0.26620
00000061) perceptual - 88.54028; gen_gan - 0.59817; feature_matching - 4.35900; equivariance_value - 0.29203; equivariance_jacobian - 0.49847; kp_distance - 1.15130; disc_gan - 0.26421
00000061) perceptual - 88.63749; gen_gan - 0.59771; feature_matching - 4.36041; equivariance_value - 0.29516; equivariance_jacobian - 0.49774; kp_distance - 1.15290; disc_gan - 0.26500
00000062) perceptual - 88.45174; gen_gan - 0.59634; feature_matching - 4.35995; equivariance_value - 0.28948; equivariance_jacobian - 0.49584; kp_distance - 1.16771; disc_gan - 0.26521
00000062) perceptual - 88.62737; gen_gan - 0.59775; feature_matching - 4.36280; equivariance_value - 0.29179; equivariance_jacobian - 0.49480; kp_distance - 1.16730; disc_gan - 0.26272
00000063) perceptual - 88.68826; gen_gan - 0.60072; feature_matching - 4.35134; equivariance_value - 0.30267; equivariance_jacobian - 0.49656; kp_distance - 1.06902; disc_gan - 0.26498
00000063) perceptual - 88.36523; gen_gan - 0.59522; feature_matching - 4.34724; equivariance_value - 0.29926; equivariance_jacobian - 0.49610; kp_distance - 1.07171; disc_gan - 0.26428
00000064) perceptual - 92.27117; gen_gan - 0.61866; feature_matching - 4.47355; equivariance_value - 0.29734; equivariance_jacobian - 0.52353; kp_distance - 1.08870; disc_gan - 0.25225
00000064) perceptual - 92.66782; gen_gan - 0.61641; feature_matching - 4.48412; equivariance_value - 0.29745; equivariance_jacobian - 0.52390; kp_distance - 1.09084; disc_gan - 0.25073
00000065) perceptual - 89.07091; gen_gan - 0.60378; feature_matching - 4.36321; equivariance_value - 0.29246; equivariance_jacobian - 0.50764; kp_distance - 1.08668; disc_gan - 0.26106
00000065) perceptual - 88.67466; gen_gan - 0.59734; feature_matching - 4.34747; equivariance_value - 0.29221; equivariance_jacobian - 0.50660; kp_distance - 1.08943; disc_gan - 0.26263
00000066) perceptual - 87.56258; gen_gan - 0.59656; feature_matching - 4.31708; equivariance_value - 0.28244; equivariance_jacobian - 0.49074; kp_distance - 1.07066; disc_gan - 0.26394
00000066) perceptual - 88.11166; gen_gan - 0.59946; feature_matching - 4.33540; equivariance_value - 0.28474; equivariance_jacobian - 0.49155; kp_distance - 1.07476; disc_gan - 0.26350
00000067) perceptual - 87.34054; gen_gan - 0.59699; feature_matching - 4.31706; equivariance_value - 0.28101; equivariance_jacobian - 0.48724; kp_distance - 1.03407; disc_gan - 0.26212
00000067) perceptual - 88.04696; gen_gan - 0.60142; feature_matching - 4.33319; equivariance_value - 0.28650; equivariance_jacobian - 0.49140; kp_distance - 1.03561; disc_gan - 0.26342
00000068) perceptual - 87.93095; gen_gan - 0.59586; feature_matching - 4.32917; equivariance_value - 0.28511; equivariance_jacobian - 0.49099; kp_distance - 1.12130; disc_gan - 0.26441
00000068) perceptual - 88.16653; gen_gan - 0.60104; feature_matching - 4.33028; equivariance_value - 0.27898; equivariance_jacobian - 0.48779; kp_distance - 1.12454; disc_gan - 0.26366
00000069) perceptual - 88.96216; gen_gan - 0.60623; feature_matching - 4.38144; equivariance_value - 0.32389; equivariance_jacobian - 0.52490; kp_distance - 1.50271; disc_gan - 0.25866
00000069) perceptual - 89.06051; gen_gan - 0.60432; feature_matching - 4.37801; equivariance_value - 0.32530; equivariance_jacobian - 0.52449; kp_distance - 1.50034; disc_gan - 0.25940
00000070) perceptual - 88.73257; gen_gan - 0.60366; feature_matching - 4.35908; equivariance_value - 0.31364; equivariance_jacobian - 0.51221; kp_distance - 1.50874; disc_gan - 0.25955
00000070) perceptual - 88.48067; gen_gan - 0.60233; feature_matching - 4.34810; equivariance_value - 0.31118; equivariance_jacobian - 0.51154; kp_distance - 1.51801; disc_gan - 0.26128
00000071) perceptual - 88.13477; gen_gan - 0.60319; feature_matching - 4.34505; equivariance_value - 0.30886; equivariance_jacobian - 0.50951; kp_distance - 1.59730; disc_gan - 0.26156
00000071) perceptual - 88.40641; gen_gan - 0.60068; feature_matching - 4.34843; equivariance_value - 0.30854; equivariance_jacobian - 0.51010; kp_distance - 1.59847; disc_gan - 0.26109
00000072) perceptual - 88.00974; gen_gan - 0.60215; feature_matching - 4.34253; equivariance_value - 0.31222; equivariance_jacobian - 0.50918; kp_distance - 1.58909; disc_gan - 0.25981
00000072) perceptual - 88.47176; gen_gan - 0.60183; feature_matching - 4.34614; equivariance_value - 0.31240; equivariance_jacobian - 0.50942; kp_distance - 1.58959; disc_gan - 0.26108
00000073) perceptual - 90.50521; gen_gan - 0.61963; feature_matching - 4.41160; equivariance_value - 0.30656; equivariance_jacobian - 0.51543; kp_distance - 1.53384; disc_gan - 0.25216
